0,1,exists,score,recon-score,kl-score
/data/SharedData/segmentation/freesurfer_asegs/pac_8360_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8360_aseg.nii.gz,True,-4745075.0,473457.62,-5218532.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8361_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8361_aseg.nii.gz,True,-4712142.0,513368.2,-5225510.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8362_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8362_aseg.nii.gz,True,-4502247.5,711062.6,-5213310.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8363_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8363_aseg.nii.gz,True,-4554233.0,661314.25,-5215547.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8364_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8364_aseg.nii.gz,True,-4783694.5,442190.4,-5225885.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8365_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8365_aseg.nii.gz,True,-4691296.0,529305.25,-5220601.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8366_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8366_aseg.nii.gz,True,-4435432.0,783590.56,-5219022.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8367_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8367_aseg.nii.gz,True,-4552629.5,667042.2,-5219671.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8368_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8368_aseg.nii.gz,True,-4646063.0,577057.06,-5223120.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8369_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8369_aseg.nii.gz,True,-4605365.0,617555.9,-5222921.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8370_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8370_aseg.nii.gz,True,-4624338.0,592120.2,-5216458.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8371_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8371_aseg.nii.gz,True,-4733042.5,485979.8,-5219022.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8372_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8372_aseg.nii.gz,True,-4718804.5,504651.56,-5223456.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8373_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8373_aseg.nii.gz,True,-4381632.0,830217.75,-5211850.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8374_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8374_aseg.nii.gz,True,-4816358.5,416560.0,-5232918.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8376_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8376_aseg.nii.gz,True,-4716607.0,502571.5,-5219178.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8377_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8377_aseg.nii.gz,True,-4767960.0,458250.88,-5226211.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8378_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8378_aseg.nii.gz,True,-4745758.0,483645.62,-5229403.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8379_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8379_aseg.nii.gz,True,-4719403.5,510959.06,-5230362.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8381_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8381_aseg.nii.gz,True,-4730019.0,493710.25,-5223729.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8382_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8382_aseg.nii.gz,True,-4641627.5,581506.06,-5223133.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8383_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8383_aseg.nii.gz,True,-4721769.0,502226.2,-5223995.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8384_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8384_aseg.nii.gz,True,-4709979.0,511369.75,-5221349.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8386_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8386_aseg.nii.gz,True,-4702185.5,519727.06,-5221912.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8387_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8387_aseg.nii.gz,True,-4798610.0,427744.25,-5226354.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8388_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8388_aseg.nii.gz,True,-4666965.0,550290.06,-5217255.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8389_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8389_aseg.nii.gz,True,-4707818.0,512648.16,-5220466.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8390_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8390_aseg.nii.gz,True,-4432196.5,756955.8,-5189152.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8391_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8391_aseg.nii.gz,True,-4729582.0,497706.2,-5227288.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8392_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8392_aseg.nii.gz,True,-4285301.0,916062.56,-5201363.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8393_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8393_aseg.nii.gz,True,-4685921.0,525528.06,-5211449.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8394_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8394_aseg.nii.gz,True,-4724404.5,503461.03,-5227865.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8395_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8395_aseg.nii.gz,True,-4690438.0,533759.6,-5224197.5
/data/SharedData/segmentation/freesurfer_asegs/pac_8396_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8396_aseg.nii.gz,True,-4754323.5,465744.7,-5220068.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8397_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8397_aseg.nii.gz,True,-4611882.5,610028.3,-5221911.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8398_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8398_aseg.nii.gz,True,-4678958.0,548863.9,-5227822.0
/data/SharedData/segmentation/freesurfer_asegs/pac_8399_orig.nii.gz,/data/SharedData/segmentation/freesurfer_asegs/pac_8399_aseg.nii.gz,True,-4768704.5,446633.12,-5215337.5
